100UF1,Capacitor,n/a,100uF capacitor for extra power regulator.
100UF2,Capacitor,n/a,100uF capacitor for main power regulator.
20MHz,Crystal/Oscillator,OSC1/OSC2,Main micro clock input 
5V to 5V ALT,Jumper/Connector,n/a,connect main 5V to 5V ALT to use X5 terminations 
B4SER,Jumper/Connector,RB4,
battery,battery,,battery backup for real time clock chip
C1,Capacitor,RB7,RB7/ ICD_DAT/ T1IN on MAX232
C10,Capacitor,RC7,RC7/ R1out MAX232
C2,Capacitor,RB6,RB6/ ICD_CLK
C3,Capacitor,RA4,RA4/T0CKI
C4,Capacitor,RA3,RA3/AN3/ CS for max6674
C5,Capacitor,RA2,RA2/AN2/ T2in MAX232
C6,Capacitor,RB1,RB1/ SCL for timer or memory chips
C6SER,Jumper/Connector,RC6,
C7,Capacitor,RB3,RB3/ SDA for timer or memory chips
C8/PDR8,Capacitor,RA0,RA0
C9,Capacitor,RC6,RC6/ jumper connection C6SER to use SERIAL jumper
CEXTRA,Capacitor,n/a,0.1uF capacitor for extra power regulator.
CMAIN,Capacitor,n/a,0.1uF capacitor for main power regulator.
CPIC,Capacitor,n/a,noice capacitor across PIC
FBD11,Diode,RC3,Fly back diode for corresponding transistor A11 or B11.
FBD12,Diode,RC2,Fly back diode for corresponding transistor A12 or B12.
FBD13,Diode,RC1,Fly back diode for corresponding transistor A13 or B13.
FBD14,Diode,RC0,Fly back diode for corresponding transistor A14 or B14.
FBD15,Diode,RB5,Fly back diode for corresponding transistor A15 or B15.
FBD16,Diode,RB4,Fly back diode for corresponding transistor A16 or B16.
FBD17,Diode,RA5,Fly back diode for corresponding transistor A17 or B17.
FBD18,Diode,RA1,Fly back diode for corresponding transistor A18 or B18.
FBD19,Diode,RC5,Fly back diode for corresponding transistor A19 or B19.
FBD20,Diode,RC4,Fly back diode for corresponding transistor A20 or B20.
FM24C256,IC,,memory NVRAM chip
Fuse1,10 Amp fuse,,fuse for TR-B11
Fuse10,10 Amp fuse,,fuse for TR-B20
Fuse2,10 Amp fuse,,fuse for TR-B12
Fuse3,10 Amp fuse,,fuse for TR-B13
Fuse4,10 Amp fuse,,fuse for TR-B14
Fuse5,10 Amp fuse,,fuse for TR-B15
Fuse6,10 Amp fuse,,fuse for TR-B16
Fuse7,10 Amp fuse,,fuse for TR-B17
Fuse8,10 Amp fuse,,fuse for TR-B18
Fuse9,10 Amp fuse,,fuse for TR-B19
ICSP,Jumper/Connector,RB7/ RB6/ MCLR,connector used to program the IC in circuit
IN/OUT/OW,Jumper/Connector,RA1,RA1/ IN/OUT/OW (One wire with power and gnd)/ R2out on MAX232/ Manual input to TR-A18 or TR-B18
ISCPRES,Resistor,MCLR,this is the pullup resistor for MCLR
JP1,Jumper/Connector,n/a,RS232 connector two sets of RX/TX and GND used for MAX232
JP2,Jumper/Connector,n/a,External power connection for high voltage like 24V.
LED100,LED,n/a,extra power LED.
LED11,LED,RC3,Output indicator for A11 or B11.
LED12,LED,RC2,Output indicator for A12 or B12.
LED13,LED,RC1,Output indicator for A13 or B13.
LED14,LED,RC0,Output indicator for A14 or B14.
LED15,LED,RB5,Output indicator for A15 or B15.
LED16,LED,RB4,Output indicator for A16 or B16.
LED17,LED,RA5,Output indicator for A17 or B17.
LED18,LED,RA1,Output indicator for A18 or B18.
LED19,LED,RC5,Output indicator for A19 or B19.
